,sentence,word,tag
0,0,Set,B-PRODUCT
1,0,of,I-PRODUCT
2,0,2,I-PRODUCT
3,0,Liosia,I-PRODUCT
4,0,PU,I-PRODUCT
5,0,Leather,I-PRODUCT
6,0,Patterned,I-PRODUCT
7,0,Bar,I-PRODUCT
8,0,Stools,I-PRODUCT
9,0,-,I-PRODUCT
10,0,White,I-PRODUCT
11,0,&,I-PRODUCT
12,0,Chrome,I-PRODUCT
13,0,Featuring,0
14,0,a,0
15,0,chrome,0
16,0,gas,0
17,0,lift,0
18,0,"lever,",0
19,0,these,0
20,0,bar,0
21,0,stools,0
22,0,incorporate,0
23,0,a,0
24,0,chrome,0
25,0,base,0
26,0,with,0
27,0,a,0
28,0,PU,0
29,0,leather,0
30,0,padded,0
31,0,seat,0
32,0,to,0
33,0,provide,0
34,0,maximum,0
35,0,comfort,0
36,0,and,0
37,0,style,0
38,0,combined.,0
39,1,Fire,B-PRODUCT
40,1,Pit,I-PRODUCT
41,1,BBQ,I-PRODUCT
42,1,Grill,I-PRODUCT
43,1,Smoker,I-PRODUCT
44,1,Table,I-PRODUCT
45,1,Outdoor,I-PRODUCT
46,1,Garden,I-PRODUCT
47,1,Ice,I-PRODUCT
48,1,Pits,I-PRODUCT
49,1,Wood,I-PRODUCT
50,1,Firepit,I-PRODUCT
51,1,Sometimes,0
52,1,the,0
53,1,cold,0
54,1,does,0
55,1,bring,0
56,1,out,0
57,1,the,0
58,1,best,0
59,1,of,0
60,1,everything.,0
61,1,Especially,0
62,1,if,0
63,1,you,0
64,1,have,0
65,1,the,0
66,1,4-in-1,0
67,1,Fire,0
68,1,Pit,0
69,1,"BBQ.Naturally,",0
70,1,with,0
71,1,"winter,",0
72,1,the,0
73,1,Fire,0
74,1,"Pit,",0
75,1,whether,0
76,1,it's,0
77,1,wood,0
78,1,or,0
79,1,charcoal,0
80,1,"fired,",0
81,1,is,0
82,1,absolutely,0
83,1,wonderful,0
84,1,with,0
85,1,its,0
86,1,warm-creating,0
87,1,capabilities.,0
88,1,Nothing,0
89,1,like,0
90,1,chilling,0
91,1,around,0
92,1,the,0
93,1,Pit,0
94,1,for,0
95,1,a,0
96,1,bit,0
97,1,of,0
98,1,social,0
99,1,pow,0
100,1,wow,0
101,1,in,0
102,1,the,0
103,1,wintry,0
104,1,outdoors.,0
105,1,Better,0
106,1,"still,",0
107,1,lay,0
108,1,on,0
109,1,a,0
110,1,great,0
111,1,BBQ,0
112,1,while,0
113,1,reminiscing,0
114,1,cherished,0
115,1,memories,0
116,1,simply,0
117,1,by,0
118,1,placing,0
119,1,the,0
120,1,BBQ,0
121,1,grill,0
122,1,over,0
123,1,the,0
124,1,pit.,0
125,1,Great,0
126,1,food,0
127,1,and,0
128,1,endearing,0
129,1,conversation,0
130,1,are,0
131,1,simply,0
132,1,inseparable,0
133,1,in,0
134,1,moments,0
135,1,like,0
136,1,these.,0
137,1,And,0
138,1,there's,0
139,1,still,0
140,1,plenty,0
141,1,of,0
142,1,space,0
143,1,around,0
144,1,the,0
145,1,Fire,0
146,1,Pit,0
147,1,to,0
148,1,place,0
149,1,your,0
150,1,"drinks,",0
151,1,snacks,0
152,1,and,0
153,1,desserts,0
154,1,to,0
155,1,keep,0
156,1,the,0
157,1,good,0
158,1,times,0
159,1,going,0
160,1,well,0
161,1,after,0
162,1,the,0
163,1,main,0
164,1,course.Without,0
165,1,the,0
166,1,"flames,",0
167,1,the,0
168,1,Fire,0
169,1,Pit,0
170,1,doubles,0
171,1,up,0
172,1,as,0
173,1,a,0
174,1,snazzy,0
175,1,alfresco,0
176,1,outdoor,0
177,1,table.,0
178,1,Just,0
179,1,cover,0
180,1,the,0
181,1,centre,0
182,1,with,0
183,1,the,0
184,1,supplied,0
185,1,mesh,0
186,1,dome,0
187,1,for,0
188,1,a,0
189,1,simple,0
190,1,rustic,0
191,1,transformation.,0
192,1,What's,0
193,1,"more,",0
194,1,it,0
195,1,can,0
196,1,even,0
197,1,serve,0
198,1,as,0
199,1,a,0
200,1,gigantic,0
201,1,ice,0
202,1,pit,0
203,1,where,0
204,1,the,0
205,1,included,0
206,1,huge,0
207,1,ice,0
208,1,tray,0
209,1,can,0
210,1,take,0
211,1,its,0
212,1,place,0
213,1,in,0
214,1,the,0
215,1,centre,0
216,1,hollow.,0
217,1,Top,0
218,1,it,0
219,1,with,0
220,1,ice,0
221,1,and,0
222,1,drinks,0
223,1,for,0
224,1,refreshing,0
225,1,escapades,0
226,1,all,0
227,1,summer,0
228,1,long.Designed,0
229,1,to,0
230,1,be,0
231,1,"strong,",0
232,1,rust-resistant,0
233,1,and,0
234,1,able,0
235,1,to,0
236,1,withstand,0
237,1,any,0
238,1,inclement,0
239,1,weather,0
240,1,or,0
241,1,high,0
242,1,heat,0
243,1,"condition,",0
244,1,the,0
245,1,robust,0
246,1,4-in-1,0
247,1,Fire,0
248,1,Pit,0
249,1,BBQ,0
250,1,is,0
251,1,a,0
252,1,must-have,0
253,1,for,0
254,1,anyone,0
255,1,who,0
256,1,enjoys,0
257,1,entertaining,0
258,1,outdoors,0
259,1,"winter,",0
260,1,"spring,",0
261,1,summer,0
262,1,or,0
263,1,fall.Come,0
264,1,on,0
265,1,"baby,",0
266,1,light,0
267,1,my,0
268,1,fire!,0
269,2,Kids,B-PRODUCT
270,2,Ride,I-PRODUCT
271,2,On,I-PRODUCT
272,2,Motorbike,I-PRODUCT
273,2,Motorcycle,I-PRODUCT
274,2,Car,I-PRODUCT
